productId,name,category,brand,price,currency,stock,rating,sku,description,color,warranty,sizeRange,material,capacity,power,dpi,connectivity,pieces,maxLoad,ports
P1001,Wireless Bluetooth Headphones,Electronics,SoundMax,2499,INR,120,4.4,SM-BT-001,"Over-ear wireless Bluetooth headphones with noise cancellation and 20 hours battery life.",Black,1 Year,,,,,,,,
P1002,Smart Fitness Band,Wearables,FitPulse,1999,INR,200,4.2,FP-FB-009,"Fitness band with heart rate monitor, sleep tracking and waterproof design.",Blue,6 Months,,,,,,,,
P1003,Men's Running Shoes,Footwear,RunFast,3499,INR,75,4.5,RF-SHOE-112,"Lightweight running shoes with breathable mesh and anti-slip sole.",,,6-11,Mesh,,,,,,
P1004,Cotton Casual T-Shirt,Apparel,UrbanWear,799,INR,300,4.1,UW-TS-778,"100% cotton casual t-shirt for daily wear.",White,,,"Cotton",,,,,,
P1005,Stainless Steel Water Bottle,Home & Kitchen,HydroPure,599,INR,180,4.3,HP-WB-301,"Insulated stainless steel water bottle that keeps drinks cold for 24 hours.",,,,"Steel",750ml,,,,,
P1006,LED Desk Lamp,Home Decor,BrightLite,1299,INR,90,4.6,BL-LAMP-55,"Adjustable LED desk lamp with touch controls and eye-care lighting.",Silver,,,"Metal",,10W,,,,,
P1007,Wireless Mouse,Computer Accessories,ClickPro,899,INR,250,4.0,CP-MOUSE-90,"Ergonomic wireless mouse with adjustable DPI and long battery life.",,,,"Plastic",,,800-1600,USB Receiver,,,
P1008,Non-Stick Cookware Set,Kitchen,CookEase,4999,INR,60,4.5,CE-CK-888,"5-piece non-stick cookware set suitable for gas and induction stoves.",,,,"Aluminium",,,,,5,,
P1009,Office Chair,Furniture,ComfortSit,8999,INR,40,4.4,CS-CHR-210,"Ergonomic office chair with lumbar support and adjustable height.",,,,"Mesh",,,,,,120kg,
P1010,Portable Power Bank,Electronics,PowerGo,1499,INR,220,4.3,PG-PB-100,"10000mAh portable power bank with fast charging support.",,,,"Plastic",10000mAh,,,,,,2
